,user_screen_name,user_name
13,RustamIbrahim,Voter Education
15,Anjaswisesa_K,ANJAS WISESA
33,mhsgunadarma,IG : Mahasiswagunadarma
39,KATADATAcoid,Katadata.co.id
46,Beritasatu,BeritaSatu
54,zwirasakti,🐙Wira🐙
57,nieke_aereta,Olivia Nieke Yuliane
58,ferizandra,ferizandra
67,gloriamadona,Gloria Hermawan
72,EmilDardak,Emil E Dardak
73,agusset1awan,Agus Setiawan
77,PutraErlangga_,Putra Erlangga 🇲🇨
90,tempodotco,TEMPO.CO
105,yudapanjaitan,"Dum vivimus, vivamus!"
170,JatengOpini,Jateng Opini
179,bangyupi_006,abang yupi 😎
180,bintorosyamsuri,bintoro
197,BennyKeef,Benny Fitriadi
222,Dogelkarya82,Ayah_e_Faiq
223,hilmyhilmyx,Hilmy Nugraha
224,mamaciaaa,☯️ Bittersweet
229,newsplatter,Henry Manampiring
233,Argoen78,gunaOne
237,bnrdo,𝔟𝔫𝔯𝔡𝔬😷
259,wadinug,Sekarepmu
271,Jateng_Twit,Info Jateng
281,Mun4fikunn,#CabutSKB2Menteri #NM
284,dokyong_,d.a.o.y™
300,staybehind_,-•- ++(/
310,Azmfz,Azmi Fauzi
330,slashspartan,Erli Suta Warman
331,soeyoto1,S0EY0T0
333,Masbens_ID,#️⃣UMKM DIGITAL💫📈📊
355,EdiKeceput,Edi Keceput
361,AlbertSolo2,Albert Solo
378,HarrisRegar,WithoutJustice_NoProsperity👀.
383,emil_skalit,𝑬𝒎𝒊𝒍 𝑺𝒊𝒎𝒂𝒏𝒖𝒏𝒈𝒌𝒂𝒍𝒊𝒕
398,Neng_Geulis_,Gadis Bogor
445,nandadrum,nanda
455,leksa,Leksa
461,greypunch,Speedey
473,yusuf_dumdum,Dumdum
475,Bento_sims,BenTo
484,wisenu_,Sukripto Tudemun🚀🌛👾
490,bachrum_achmadi,SiraitBatakDusun™️
512,PanggilAku_Sanz,LaLaLa~YeYeYe
522,pemegangsaham_,𝙿𝚎𝚖𝚎𝚐𝚊𝚗𝚐 𝚂𝚊𝚑𝚊𝚖 𝙼𝚊𝚢𝚘𝚛𝚒𝚝𝚊𝚜
525,_Ahmadyu,Boy
527,zimi95,Tɑmɑrɑ
529,mus_theib,DEMOKRAT NO SALE
530,jogjacoret,JOgja Coret
533,narkosun,IG: narkosun
560,ahmad_habbie,HABBIE
574,korantempo,Koran Tempo
614,Indonesia_Pedia,Indonesia Pedia
627,Ontaaa,惠和
646,LaingenLisa,Pasaribu MargaKu 😎🇮🇩
663,DosenHaris,MasDosen
768,Nuwun_Gusti,M I C K Y ✨
807,calondolanan,𝐂𝐚𝐥𝐨𝐧 𝐁𝐮𝐩𝐚𝐭𝐢 𝐒𝐥𝐞𝐦𝐚𝐧 𝟐𝟎𝟐𝟒
808,txtdaritng,HBD KOTA TANGERANG🥳
818,tmcrestabandung,TMC POLRESTA BANDUNG
888,RK_JabarJuara,RK Jabar Juara
905,herditiya1,Penjaga Villa
913,FIMELAdotcom,FIMELA
918,yusufgunawan,Yusuf Gunawan
925,Ris_pinang,putra.
930,Fatma_Reyna,NKRI 2024
951,Rizmaya__,Rizmaya
991,HengkyBisa,Hengky
1016,Sijo_su,Sijo Sudarsono
1064,KhofifahIP,Khofifah Indar Parawansa
1079,Mas_Eko_Hartono,Bukan K🅰️M🅱️ING HIT🅰️M♂️
1101,niewiw_wiyono,niwie_arno
