user_screen_name,user_name,gender
RustamIbrahim,Voter Education,m
Anjaswisesa_K,ANJAS WISESA,m
mhsgunadarma,IG : Mahasiswagunadarma,
KATADATAcoid,Katadata.co.id,
Beritasatu,BeritaSatu,
zwirasakti,🐙Wira🐙,
nieke_aereta,Olivia Nieke Yuliane,w
ferizandra,ferizandra,w
gloriamadona,Gloria Hermawan,w
EmilDardak,Emil E Dardak,m
agusset1awan,Agus Setiawan,m
PutraErlangga_,Putra Erlangga 🇲🇨,m
tempodotco,TEMPO.CO,
yudapanjaitan,"Dum vivimus, vivamus!",
JatengOpini,Jateng Opini,
bangyupi_006,abang yupi 😎,
bintorosyamsuri,bintoro,
BennyKeef,Benny Fitriadi,m
Dogelkarya82,Ayah_e_Faiq,
hilmyhilmyx,Hilmy Nugraha,m
mamaciaaa,☯️ Bittersweet,
newsplatter,Henry Manampiring,m
Argoen78,gunaOne,
bnrdo,𝔟𝔫𝔯𝔡𝔬😷,
wadinug,Sekarepmu,
Jateng_Twit,Info Jateng,
Mun4fikunn,#CabutSKB2Menteri #NM,
dokyong_,d.a.o.y™,
staybehind_,-•- ++(/,
Azmfz,Azmi Fauzi,m
slashspartan,Erli Suta Warman,w
soeyoto1,S0EY0T0,
Masbens_ID,#️⃣UMKM DIGITAL💫📈📊,
EdiKeceput,Edi Keceput,m
AlbertSolo2,Albert Solo,m
HarrisRegar,WithoutJustice_NoProsperity👀.,
emil_skalit,𝑬𝒎𝒊𝒍 𝑺𝒊𝒎𝒂𝒏𝒖𝒏𝒈𝒌𝒂𝒍𝒊𝒕,
Neng_Geulis_,Gadis Bogor,
nandadrum,nanda,w
leksa,Leksa,w
greypunch,Speedey,
yusuf_dumdum,Dumdum,
Bento_sims,BenTo,
wisenu_,Sukripto Tudemun🚀🌛👾,
bachrum_achmadi,SiraitBatakDusun™️,
PanggilAku_Sanz,LaLaLa~YeYeYe,
pemegangsaham_,𝙿𝚎𝚖𝚎𝚐𝚊𝚗𝚐 𝚂𝚊𝚑𝚊𝚖 𝙼𝚊𝚢𝚘𝚛𝚒𝚝𝚊𝚜,
_Ahmadyu,Boy,
zimi95,Tɑmɑrɑ,w
mus_theib,DEMOKRAT NO SALE,
jogjacoret,JOgja Coret,
narkosun,IG: narkosun,
ahmad_habbie,HABBIE,m
korantempo,Koran Tempo,
Indonesia_Pedia,Indonesia Pedia,
Ontaaa,惠和,
LaingenLisa,Pasaribu MargaKu 😎🇮🇩,
DosenHaris,MasDosen,
Nuwun_Gusti,M I C K Y ✨,
calondolanan,𝐂𝐚𝐥𝐨𝐧 𝐁𝐮𝐩𝐚𝐭𝐢 𝐒𝐥𝐞𝐦𝐚𝐧 𝟐𝟎𝟐𝟒,
txtdaritng,HBD KOTA TANGERANG🥳,
tmcrestabandung,TMC POLRESTA BANDUNG,
RK_JabarJuara,RK Jabar Juara,
herditiya1,Penjaga Villa,
FIMELAdotcom,FIMELA,
yusufgunawan,Yusuf Gunawan,m
Ris_pinang,putra.,m
Fatma_Reyna,NKRI 2024,
Rizmaya__,Rizmaya,w
HengkyBisa,Hengky,m
Sijo_su,Sijo Sudarsono,
KhofifahIP,Khofifah Indar Parawansa,w
Mas_Eko_Hartono,Bukan K🅰️M🅱️ING HIT🅰️M♂️,
niewiw_wiyono,niwie_arno,
Bella_Peter_,Bella,w
yennykhrist,yennykhrist,
infobogor,BOGOR,
EnjoyJateng,Enjoy Jateng,
edhi_shi,Edu,
gambaris,Gemar Menggambar,
didihadid_,달의 연인 ☃️❄️,
arifjamalimuis,arif jamali muis,
RominicToretto,Rõm,
DSutiyanti,Dwie,
YoGojekYo,Liam G,
EkoSatriyoP,PRESIDEN KEMAKI,
Mila_Machmudah,Mila Machmudah,
Sinoeng69,Sinung N. Rachmadi,m
ShaniBudi,Shani Budi,
SangGuru2471,Guru Agama Garis Lucu,
Dreamy091_,Impian Nopitasari,
Dispenduk_solo,DispendukCapil_Solo,
amerikeno_,Kenya,
dendryyy,Rex,
